order_ref,date_time,product_title,qty,subtotal
UBR-732694,18/05/2026 13:38,soft drink,2,5.0
UBR-107611,18/05/2026 15:36,cheeseburger,2,19.0
UBR-519755,10/05/2026 20:17,regular fries,2,6.0
UBR-156085,30/04/2026 18:59,regular fries,1,3.0
UBR-387303,24/04/2026 21:02,vegan burger,2,18.0
UBR-868567,10/05/2026 20:06,gourmet burger,1,8.5
UBR-432781,12/05/2026 19:26,regular fries,2,6.0
UBR-731322,22/05/2026 17:07,sweet potato fries,2,8.0
UBR-457372,14/05/2026 12:52,cheeseburger,2,19.0
UBR-306291,18/05/2026 17:27,chocolate milkshake,1,4.5
UBR-774427,27/04/2026 11:26,cheeseburger,2,19.0
UBR-542902,20/05/2026 21:04,chocolate milkshake,2,9.0
UBR-238487,09/05/2026 17:05,regular fries,1,3.0
UBR-848304,22/05/2026 21:28,regular fries,1,3.0
UBR-846935,19/05/2026 16:12,soft drink,1,2.5
UBR-572417,06/05/2026 19:14,gourmet burger,1,8.5
UBR-815019,16/05/2026 11:47,gourmet burger,1,8.5
UBR-633529,19/05/2026 23:09,regular fries,2,6.0
UBR-472030,26/04/2026 19:14,vegan burger,1,9.0
UBR-464732,30/04/2026 12:29,cheeseburger,1,9.5
UBR-372825,28/04/2026 17:28,chocolate milkshake,2,9.0
UBR-998587,19/05/2026 19:17,sweet potato fries,2,8.0
UBR-432868,02/05/2026 22:12,cheeseburger,2,19.0
UBR-478063,14/05/2026 15:48,cheeseburger,1,9.5
UBR-448999,11/05/2026 23:48,chocolate milkshake,2,9.0
UBR-927825,17/05/2026 19:06,soft drink,2,5.0
UBR-724457,19/05/2026 21:55,cheeseburger,2,19.0
UBR-469036,23/04/2026 14:11,cheeseburger,1,9.5
UBR-971117,11/05/2026 22:32,vegan burger,1,9.0
