Order_ID,Timestamp,Item_Name,Quantity,Price_Paid
TXN-1029,2026-04-29 18:40:37,Vegan Burger,2,18.0
TXN-1030,2026-05-21 16:06:42,Vegan Burger,3,27.0
TXN-1031,2026-05-10 20:35:03,Soft Drink,2,5.0
TXN-1032,2026-05-22 17:16:27,Sweet Potato Fries,2,8.0
TXN-1033,2026-05-22 17:49:44,Soft Drink,1,2.5
TXN-1034,2026-04-29 22:04:43,Gourmet Burger,2,17.0
TXN-1035,2026-04-25 23:58:36,Regular Fries,3,9.0
TXN-1036,2026-04-22 14:11:23,Soft Drink,3,7.5
TXN-1037,2026-05-08 11:22:02,Soft Drink,2,5.0
TXN-1038,2026-05-03 12:08:51,Soft Drink,2,5.0
TXN-1039,2026-05-07 15:04:26,Cheeseburger,3,28.5
TXN-1040,2026-05-14 19:49:22,Chocolate Milkshake,3,13.5
TXN-1041,2026-05-11 15:27:30,Soft Drink,2,5.0
TXN-1042,2026-05-01 11:43:10,Soft Drink,2,5.0
TXN-1043,2026-05-14 14:55:16,Regular Fries,3,9.0
TXN-1044,2026-05-17 13:47:53,Cheeseburger,2,19.0
TXN-1045,2026-05-11 17:24:48,Regular Fries,3,9.0
TXN-1046,2026-05-21 18:49:55,Vegan Burger,1,9.0
TXN-1047,2026-04-28 16:45:19,Regular Fries,1,3.0
TXN-1048,2026-05-12 15:07:10,Regular Fries,1,3.0
TXN-1049,2026-05-13 22:57:15,Regular Fries,3,9.0
TXN-1050,2026-05-12 17:12:50,Vegan Burger,1,9.0
TXN-1051,2026-05-19 23:09:04,Vegan Burger,3,27.0
TXN-1052,2026-05-09 17:09:10,Vegan Burger,3,27.0
TXN-1053,2026-05-01 18:40:31,Cheeseburger,1,9.5
TXN-1054,2026-05-17 19:22:25,Vegan Burger,3,27.0
TXN-1055,2026-04-25 15:55:34,Soft Drink,1,2.5
TXN-1056,2026-05-16 20:14:57,Chocolate Milkshake,3,13.5
TXN-1057,2026-05-04 23:18:37,Regular Fries,2,6.0
TXN-1058,2026-05-08 15:37:31,Soft Drink,1,2.5
TXN-1059,2026-04-26 18:16:18,Chocolate Milkshake,1,4.5
TXN-1060,2026-05-04 18:55:53,Vegan Burger,1,9.0
TXN-1061,2026-05-10 20:54:48,Gourmet Burger,3,25.5
TXN-1062,2026-04-24 20:15:53,Gourmet Burger,1,8.5
TXN-1063,2026-04-28 14:02:06,Sweet Potato Fries,3,12.0
TXN-1064,2026-04-23 12:17:46,Chocolate Milkshake,1,4.5
TXN-1065,2026-05-01 14:51:38,Chocolate Milkshake,1,4.5
TXN-1066,2026-04-27 19:18:45,Gourmet Burger,3,25.5
TXN-1067,2026-05-03 23:11:56,Sweet Potato Fries,1,4.0
TXN-1068,2026-04-26 19:44:16,Chocolate Milkshake,1,4.5
TXN-1069,2026-05-12 16:37:35,Cheeseburger,3,28.5
TXN-1070,2026-05-04 13:28:09,Regular Fries,2,6.0
TXN-1071,2026-05-18 21:59:57,Sweet Potato Fries,2,8.0
TXN-1072,2026-05-16 11:53:45,Soft Drink,3,7.5
TXN-1073,2026-04-22 22:34:43,Cheeseburger,2,19.0
TXN-1074,2026-05-14 21:29:43,Regular Fries,3,9.0
TXN-1075,2026-05-21 18:19:06,Chocolate Milkshake,3,13.5
TXN-1076,2026-05-09 22:47:21,Chocolate Milkshake,3,13.5
TXN-1077,2026-05-15 16:24:39,Chocolate Milkshake,3,13.5
TXN-1078,2026-05-06 20:01:20,Vegan Burger,3,27.0
TXN-1079,2026-04-26 19:27:36,Cheeseburger,1,9.5
TXN-1080,2026-04-27 17:45:12,Gourmet Burger,3,25.5
TXN-1081,2026-05-10 12:59:12,Gourmet Burger,1,8.5
TXN-1082,2026-04-26 18:28:07,Vegan Burger,3,27.0
TXN-1083,2026-05-12 20:01:47,Gourmet Burger,2,17.0
TXN-1084,2026-05-09 12:50:23,Vegan Burger,2,18.0
TXN-1085,2026-05-16 16:35:52,Vegan Burger,1,9.0
TXN-1086,2026-05-17 22:25:56,Soft Drink,1,2.5
TXN-1087,2026-04-26 18:32:26,Gourmet Burger,1,8.5
TXN-1088,2026-05-12 18:01:41,Vegan Burger,2,18.0
TXN-1089,2026-04-24 13:28:42,Chocolate Milkshake,3,13.5
TXN-1090,2026-05-14 20:58:34,Sweet Potato Fries,3,12.0
TXN-1091,2026-05-02 13:32:10,Vegan Burger,1,9.0
TXN-1092,2026-05-11 17:17:12,Vegan Burger,1,9.0
TXN-1093,2026-05-14 13:05:45,Chocolate Milkshake,1,4.5
TXN-1094,2026-05-22 16:58:40,Cheeseburger,3,28.5
TXN-1095,2026-05-16 18:56:19,Soft Drink,3,7.5
TXN-1096,2026-05-14 20:12:39,Sweet Potato Fries,3,12.0
TXN-1097,2026-05-07 21:29:16,Gourmet Burger,1,8.5
TXN-1098,2026-05-04 12:28:35,Sweet Potato Fries,3,12.0
TXN-1099,2026-05-06 11:26:22,Regular Fries,2,6.0
TXN-1100,2026-05-22 22:16:47,Gourmet Burger,1,8.5
